sno,Airline,Source,Destination,Total_Stops,Price,Day,Month,Dep_hour,Dep_minute,Duration_hour,Duration_minute
4172,IndiGo,Kolkata,Banglore,1,4775,18,5,15,15,4,50
2673,Air India,Kolkata,Banglore,2,13222,18,5,9,25,28,20
17,Jet Airways,Delhi,Cochin,1,10262,6,12,14,0,22,35
4802,Jet Airways,Delhi,Cochin,1,10262,6,1,15,0,21,35
4421,Jet Airways,Delhi,Cochin,1,14714,6,3,16,0,12,25
6604,Jet Airways,Mumbai,Hyderabad,0,4995,21,5,10,20,1,30
7052,GoAir,Delhi,Cochin,1,4959,6,12,10,35,9,0
4362,Jet Airways,Kolkata,Banglore,1,8586,5,6,6,30,22,10
33,Jet Airways,Delhi,Cochin,2,10919,15,6,14,35,22,0
9618,Air Asia,Delhi,Cochin,1,6752,24,6,16,45,13,50
10190,Multiple carriers,Delhi,Cochin,1,10406,27,5,7,5,13,55
3233,Air India,Delhi,Cochin,2,7090,27,3,9,45,23,40
8351,Multiple carriers,Delhi,Cochin,1,8837,27,5,7,30,11,45
6410,Jet Airways,Banglore,Delhi,0,7229,27,5,7,10,3,0
7417,Jet Airways,Kolkata,Banglore,1,10844,6,6,8,25,7,55
5122,Jet Airways,Kolkata,Banglore,1,14781,15,5,16,30,19,30
5123,Air Asia,Kolkata,Banglore,2,5192,21,5,15,10,8,20
7225,SpiceJet,Kolkata,Banglore,0,3847,27,3,9,0,2,30
5923,SpiceJet,Kolkata,Banglore,0,4439,18,5,9,0,2,25
7446,Vistara,Chennai,Kolkata,0,11982,5,3,17,45,2,20
9460,IndiGo,Chennai,Kolkata,0,3850,21,5,7,55,2,20
5080,Multiple carriers,Delhi,Cochin,1,10197,5,9,8,0,11,0
5362,Jet Airways,Mumbai,Hyderabad,0,8040,6,3,10,20,1,30
4619,Jet Airways,Delhi,Cochin,2,13882,15,6,11,45,16,40
4597,SpiceJet,Delhi,Cochin,1,5899,27,4,6,5,5,15
8731,IndiGo,Delhi,Cochin,1,6412,15,5,16,10,6,20
1890,Jet Airways,Banglore,Delhi,0,4544,4,6,6,0,2,45
7587,Jet Airways,Kolkata,Banglore,1,10031,24,3,21,10,26,15
1358,IndiGo,Banglore,Delhi,0,4591,18,5,23,30,2,50
5893,Vistara,Kolkata,Banglore,1,7927,4,1,20,20,27,5
3377,Jet Airways,Banglore,New Delhi,1,16736,3,6,7,0,11,25
3140,SpiceJet,Kolkata,Banglore,0,3873,4,12,9,0,2,25
935,Jet Airways,Delhi,Cochin,2,16263,5,9,20,0,8,25
6123,Jet Airways,Banglore,New Delhi,1,17261,3,6,11,40,21,50
2289,IndiGo,Kolkata,Banglore,0,4174,4,6,4,40,2,35
5003,Jet Airways,Delhi,Cochin,2,11270,6,6,21,25,15,10
9251,Jet Airways,Kolkata,Banglore,1,12692,6,12,17,0,6,35
2817,IndiGo,Kolkata,Banglore,0,4804,21,5,15,30,2,35
2434,Multiple carriers,Delhi,Cochin,1,16108,15,6,10,0,9,15
5279,Jet Airways,Mumbai,Hyderabad,0,3210,5,9,2,55,1,25
2516,Multiple carriers,Delhi,Cochin,1,14848,6,6,8,0,11,15
2116,Jet Airways,Banglore,Delhi,0,7229,4,1,19,50,3,0
9573,Jet Airways,Kolkata,Banglore,1,12681,4,1,16,30,12,10
7934,IndiGo,Banglore,Delhi,0,4823,15,4,20,0,2,50
8610,SpiceJet,Mumbai,Hyderabad,0,1965,24,6,13,15,1,30
2032,Multiple carriers,Delhi,Cochin,1,7408,6,9,10,0,11,0
1417,Jet Airways,Mumbai,Hyderabad,2,24115,3,6,14,20,26,30
1107,IndiGo,Mumbai,Hyderabad,0,2227,21,6,21,20,1,30
4061,Air India,Mumbai,Hyderabad,1,10366,3,6,5,55,16,5
1397,Jet Airways,Banglore,Delhi,0,3702,5,6,15,15,2,55
1827,IndiGo,Kolkata,Banglore,1,4150,24,3,4,15,5,35
9866,IndiGo,Delhi,Cochin,1,5073,4,6,20,25,5,5
8260,Air India,Banglore,Delhi,0,5228,5,9,17,0,2,45
2548,SpiceJet,Chennai,Kolkata,0,3597,15,6,9,45,2,15
4980,Jet Airways,Kolkata,Banglore,1,10844,21,5,21,10,22,40
19,Jet Airways,Delhi,Cochin,1,12898,27,5,16,0,20,35
7,Jet Airways,Banglore,New Delhi,1,22270,3,1,8,0,21,5
9227,Jet Airways,Banglore,Delhi,0,7229,5,9,19,50,3,0
45,SpiceJet,Banglore,New Delhi,0,3527,24,3,5,45,2,50
6961,Jet Airways,Kolkata,Banglore,1,10844,18,5,16,30,19,30
5408,Jet Airways,Kolkata,Banglore,1,14151,24,5,17,0,6,35
4127,Air India,Banglore,New Delhi,1,5626,3,9,6,50,16,20
3609,Jet Airways,Delhi,Cochin,2,13882,6,12,9,25,27,10
6405,GoAir,Banglore,Delhi,0,3419,24,6,20,55,2,45
8820,IndiGo,Kolkata,Banglore,0,4804,6,3,11,30,2,35
5820,Air India,Banglore,Delhi,0,5228,27,5,13,20,2,50
5854,Multiple carriers,Delhi,Cochin,1,7268,24,6,12,50,6,25
6521,Jet Airways,Delhi,Cochin,2,13014,24,6,5,30,13,30
5650,Jet Airways,Banglore,New Delhi,1,9134,15,3,7,0,5,25
3588,Jet Airways,Kolkata,Banglore,1,11134,24,3,13,55,20,10
1121,SpiceJet,Kolkata,Banglore,1,4649,6,6,15,5,5,15
6582,SpiceJet,Mumbai,Hyderabad,0,1965,4,3,13,15,1,30
3814,IndiGo,Kolkata,Banglore,0,4804,24,5,17,15,2,35
5417,Jet Airways,Mumbai,Hyderabad,0,4995,5,6,7,5,1,25
9813,Jet Airways,Kolkata,Banglore,1,8586,5,1,18,55,9,45
7000,Jet Airways,Kolkata,Banglore,1,13941,5,1,8,25,20,15
731,SpiceJet,Kolkata,Banglore,1,4649,15,4,15,5,5,15
5552,Air Asia,Banglore,Delhi,0,3383,4,6,23,55,2,50
6948,Jet Airways,Delhi,Cochin,1,10262,6,9,22,50,13,45
4181,Vistara,Kolkata,Banglore,1,9187,18,5,20,20,14,25
8111,Jet Airways,Kolkata,Banglore,1,14781,5,1,16,30,6,5
310,Jet Airways,Kolkata,Banglore,1,10844,21,5,20,0,23,50
3650,Jet Airways,Kolkata,Banglore,1,14388,21,5,14,5,18,10
1493,Multiple carriers,Delhi,Cochin,1,9021,5,9,10,20,15,10
3725,Jet Airways,Kolkata,Banglore,1,9663,5,12,6,30,26,50
2154,Air India,Kolkata,Banglore,2,10151,6,9,12,0,23,10
715,IndiGo,Chennai,Kolkata,0,4326,27,3,5,15,2,20
6453,Jet Airways,Kolkata,Banglore,1,14781,5,6,8,25,9,50
1395,Jet Airways,Kolkata,Banglore,1,14781,18,5,14,5,9,30
3652,Jet Airways,Kolkata,Banglore,1,8586,18,5,21,10,11,5
8543,Jet Airways,Delhi,Cochin,2,13014,6,6,5,30,22,55
2576,Multiple carriers,Delhi,Cochin,1,13727,15,5,14,0,11,30
5368,Jet Airways,Banglore,New Delhi,1,16736,3,6,7,0,14,20
5062,SpiceJet,Banglore,New Delhi,1,23267,3,1,10,20,7,55
659,Vistara,Banglore,Delhi,0,4668,24,6,9,45,2,50
7229,Jet Airways Business,Delhi,Cochin,2,46490,3,3,20,5,8,20
4697,Jet Airways,Banglore,New Delhi,1,7832,21,3,14,5,20,20
441,Jet Airways,Kolkata,Banglore,1,10844,5,12,8,25,12,20
7835,Air India,Delhi,Cochin,2,10231,6,12,5,0,26,40
1772,Jet Airways,Mumbai,Hyderabad,0,4050,6,9,7,5,1,25
175,Jet Airways,Kolkata,Banglore,1,13044,6,12,16,30,17,35
4054,IndiGo,Delhi,Cochin,1,6442,15,4,6,50,9,20
9481,Air India,Kolkata,Banglore,1,5567,24,3,19,0,16,5
9035,Jet Airways,Banglore,Delhi,0,8016,6,9,17,45,3,0
5079,Multiple carriers,Delhi,Cochin,1,8882,18,5,4,55,7,40
6993,Jet Airways,Delhi,Cochin,2,13376,6,1,6,45,21,40
4367,Air India,Banglore,New Delhi,1,4943,21,3,8,15,24,35
9082,IndiGo,Delhi,Cochin,0,6015,21,4,5,35,3,15
1451,Jet Airways,Delhi,Cochin,1,12373,5,9,22,50,20,10
6950,Jet Airways,Kolkata,Banglore,1,8586,15,5,16,30,7,5
5911,Jet Airways,Delhi,Cochin,2,19644,27,5,11,40,7,20
7814,Air India,Kolkata,Banglore,2,11458,5,6,9,25,15,55
8721,Jet Airways,Banglore,New Delhi,1,7832,21,3,8,55,11,25
2136,Jet Airways,Delhi,Cochin,1,15554,18,5,20,55,22,5
5739,Jet Airways,Kolkata,Banglore,1,9663,21,5,14,5,20,0
2670,Jet Airways,Kolkata,Banglore,1,10844,5,1,8,25,7,55
10179,IndiGo,Banglore,Delhi,0,3943,4,9,4,0,2,50
9456,GoAir,Delhi,Cochin,1,6112,3,3,7,30,5,50
8149,IndiGo,Kolkata,Banglore,1,6218,6,12,18,5,5,25
9801,Air India,Kolkata,Banglore,2,13873,18,5,7,0,18,20
4097,Air India,Kolkata,Banglore,0,4145,5,6,20,45,2,35
9368,Jet Airways,Delhi,Cochin,1,11924,27,5,10,0,9,0
2634,Jet Airways,Banglore,Delhi,0,7229,4,6,6,0,2,45
9084,Jet Airways,Kolkata,Banglore,1,13941,15,5,20,0,12,15
5365,Air India,Banglore,New Delhi,3,14195,3,6,12,0,11,25
10295,Multiple carriers,Delhi,Cochin,1,10877,6,12,11,25,7,35
9285,Jet Airways,Kolkata,Banglore,1,13941,5,6,16,30,12,10
3801,Air India,Banglore,New Delhi,1,12704,3,1,9,30,14,15
5569,Jet Airways,Banglore,Delhi,0,5769,6,12,19,50,3,0
2170,GoAir,Delhi,Cochin,1,9385,21,3,7,0,5,50
6421,IndiGo,Delhi,Cochin,0,5021,4,3,21,5,3,15
684,GoAir,Delhi,Cochin,1,5842,6,12,7,25,6,10
7944,Multiple carriers,Delhi,Cochin,1,10406,6,12,7,5,13,55
5372,Multiple carriers,Delhi,Cochin,1,10197,15,5,8,0,11,0
1811,Jet Airways,Kolkata,Banglore,1,10844,5,9,8,25,12,20
10309,Jet Airways,Kolkata,Banglore,1,14178,24,5,14,5,19,15
9678,Multiple carriers,Delhi,Cochin,1,10529,5,6,7,30,11,30
6668,Jet Airways,Kolkata,Banglore,1,13941,5,1,18,55,15,10
3712,IndiGo,Chennai,Kolkata,0,3597,18,6,14,45,2,20
3152,IndiGo,Chennai,Kolkata,0,3597,5,1,14,45,2,20
3628,Multiple carriers,Delhi,Cochin,1,17057,3,3,17,30,8,5
9360,Multiple carriers,Delhi,Cochin,1,13727,5,9,14,0,7,0
2687,SpiceJet,Banglore,Delhi,0,4885,27,4,9,30,2,50
3347,Jet Airways,Delhi,Cochin,1,10262,6,1,18,15,18,20
3051,Jet Airways,Mumbai,Hyderabad,0,2470,24,3,19,35,1,30
3177,Air India,Delhi,Cochin,2,12698,6,3,7,10,12,5
6072,Multiple carriers,Delhi,Cochin,1,15135,3,6,9,10,9,40
6897,Air India,Delhi,Cochin,2,11753,6,6,10,55,8,20
5774,IndiGo,Banglore,New Delhi,0,5694,15,3,1,30,2,45
6722,IndiGo,Kolkata,Banglore,0,5644,21,4,14,25,2,30
9404,Multiple carriers,Delhi,Cochin,1,13937,15,5,8,0,13,0
8597,Air India,Kolkata,Banglore,1,10623,18,5,17,30,26,55
5325,Jet Airways,Kolkata,Banglore,1,10844,24,5,8,25,9,50
6935,Air India,Delhi,Cochin,1,7934,21,3,13,0,6,15
855,IndiGo,Banglore,New Delhi,0,5694,24,3,21,20,2,55
7253,IndiGo,Kolkata,Banglore,1,4268,4,6,15,15,5,15
10167,Jet Airways,Delhi,Cochin,1,16079,27,5,9,0,10,0
3028,IndiGo,Kolkata,Banglore,0,4804,24,5,22,15,2,35
9931,Multiple carriers,Delhi,Cochin,1,24318,3,6,17,0,8,35
2324,Multiple carriers,Delhi,Cochin,1,13587,6,9,13,0,8,0
4712,Jet Airways,Kolkata,Banglore,1,12681,4,1,6,30,11,45
7872,Air India,Kolkata,Banglore,1,6528,15,5,14,35,24,0
3699,IndiGo,Mumbai,Hyderabad,0,2754,18,5,12,0,1,30
5671,IndiGo,Delhi,Cochin,1,6287,15,4,5,5,7,5
1296,Air India,Mumbai,Hyderabad,0,3100,5,9,19,30,1,15
9923,IndiGo,Kolkata,Banglore,0,4804,27,4,17,15,2,35
5637,IndiGo,Kolkata,Banglore,0,4804,24,4,22,15,2,35
1,Air India,Kolkata,Banglore,2,7662,5,1,5,50,7,25
5476,Air India,Delhi,Cochin,1,7480,24,6,20,40,12,45
3386,Jet Airways,Kolkata,Banglore,1,9663,5,6,6,30,26,50
7138,IndiGo,Mumbai,Hyderabad,0,4784,3,6,6,20,1,25
9502,IndiGo,Delhi,Cochin,1,6838,24,6,9,15,11,45
6144,Jet Airways,Banglore,New Delhi,1,11087,18,3,22,50,10,10
6471,Air India,Mumbai,Hyderabad,0,3100,15,6,19,30,1,15
229,Jet Airways,Mumbai,Hyderabad,0,4995,27,5,10,20,1,30
3223,IndiGo,Mumbai,Hyderabad,0,2227,6,3,21,20,1,30
9366,Jet Airways,Kolkata,Banglore,1,9314,5,1,20,25,27,10
4591,Vistara,Banglore,Delhi,0,4668,24,6,7,0,2,40
2191,Jet Airways,Mumbai,Hyderabad,0,4995,5,9,7,5,1,25
5357,SpiceJet,Chennai,Kolkata,0,3911,5,9,8,20,2,15
1610,Air India,Banglore,Delhi,0,6961,6,3,17,0,2,45
8635,IndiGo,Chennai,Kolkata,0,3597,6,6,14,45,2,20
4142,Vistara,Kolkata,Banglore,1,8452,5,1,17,0,16,5
9370,Jet Airways,Banglore,Delhi,0,6478,24,6,18,55,3,5
9741,Jet Airways,Kolkata,Banglore,1,13759,24,3,21,10,19,10
10023,Multiple carriers,Delhi,Cochin,1,7268,27,6,11,40,7,35
7946,Air India,Kolkata,Banglore,1,10203,5,6,20,30,23,55
9693,Multiple carriers,Delhi,Cochin,1,7198,24,6,13,0,12,30
7574,Air India,Banglore,New Delhi,1,10321,3,9,10,30,24,50
4278,Jet Airways,Kolkata,Banglore,1,14151,21,5,17,0,6,35
4929,Jet Airways,Kolkata,Banglore,1,12384,24,5,20,25,13,20
800,Vistara,Kolkata,Banglore,1,7927,6,12,20,20,12,45
6922,Jet Airways,Delhi,Cochin,0,7202,6,9,11,0,3,15
7829,Multiple carriers,Delhi,Cochin,1,6795,15,6,11,40,13,50
6532,Jet Airways,Delhi,Cochin,2,15439,4,9,11,40,7,20
2565,SpiceJet,Kolkata,Banglore,0,3841,27,4,9,0,2,25
671,Multiple carriers,Delhi,Cochin,1,7888,21,5,7,0,14,0
3567,Jet Airways,Banglore,Delhi,0,5769,24,6,7,10,3,0
2274,Jet Airways,Delhi,Cochin,1,14714,6,6,15,0,28,0
9660,Jet Airways,Kolkata,Banglore,1,9663,5,9,18,55,14,25
9302,Air India,Kolkata,Banglore,2,13243,18,5,10,0,15,20
7776,Multiple carriers,Delhi,Cochin,1,7575,21,5,11,25,7,50
412,Jet Airways,Delhi,Cochin,1,12898,21,5,7,5,21,20
3631,Jet Airways,Kolkata,Banglore,1,8355,5,1,10,20,7,15
5730,IndiGo,Banglore,Delhi,0,4990,21,6,18,15,3,5
5554,Jet Airways,Delhi,Cochin,2,8273,21,3,6,20,22,5
4227,Jet Airways,Kolkata,Banglore,1,8529,6,12,14,5,19,15
5276,SpiceJet,Delhi,Cochin,1,5158,21,5,8,45,4,30
9843,SpiceJet,Banglore,Delhi,0,3625,21,6,9,30,2,50
6938,Jet Airways,Delhi,Cochin,1,10262,6,3,20,55,7,30
1370,SpiceJet,Kolkata,Banglore,0,4911,21,4,17,10,2,30
276,Air India,Mumbai,Hyderabad,0,2575,27,3,6,20,1,20
7825,IndiGo,Chennai,Kolkata,0,5277,27,5,22,5,2,20
3178,Jet Airways,Kolkata,Banglore,1,8586,24,5,6,30,22,10
6352,Vistara,Delhi,Cochin,0,6741,18,5,6,0,3,10
2164,Jet Airways,Delhi,Cochin,2,10368,27,6,5,30,13,30
7892,Jet Airways,Kolkata,Banglore,1,14781,5,9,8,25,12,20
5592,IndiGo,Delhi,Cochin,1,6758,18,5,6,40,14,20
5952,IndiGo,Banglore,Delhi,0,4423,15,6,6,5,2,45
10096,IndiGo,Banglore,Delhi,0,4990,4,12,6,5,2,45
7089,Jet Airways,Banglore,Delhi,0,4030,15,5,18,55,3,5
1177,IndiGo,Kolkata,Banglore,0,5224,21,5,14,25,2,30
8688,Air India,Delhi,Cochin,2,13276,21,5,10,55,8,20
4381,Multiple carriers,Delhi,Cochin,1,10546,5,9,7,5,13,55
5150,IndiGo,Mumbai,Hyderabad,0,2227,18,3,21,20,1,25
304,IndiGo,Delhi,Cochin,2,8146,3,9,6,40,14,40
6614,Jet Airways,Banglore,Delhi,0,8016,27,6,7,10,3,0
6585,Jet Airways,Kolkata,Banglore,1,14781,5,9,16,30,12,10
5392,Air India,Kolkata,Banglore,2,13437,5,12,16,45,23,30
2439,IndiGo,Banglore,New Delhi,0,4377,3,9,22,20,2,50
4371,IndiGo,Kolkata,Banglore,0,4804,5,3,21,25,2,40
6012,Jet Airways,Kolkata,Banglore,1,13067,18,5,20,25,18,0
2830,Air India,Mumbai,Hyderabad,2,9678,3,6,5,30,16,30
7097,Jet Airways,Delhi,Cochin,2,15129,27,5,19,30,8,55
6288,IndiGo,Kolkata,Banglore,1,6116,6,6,19,35,3,40
5664,IndiGo,Delhi,Cochin,1,5298,5,9,6,50,5,20
5641,IndiGo,Chennai,Kolkata,0,7295,3,1,14,40,2,25
9937,Multiple carriers,Delhi,Cochin,1,7408,15,6,19,0,6,30
5568,IndiGo,Mumbai,Hyderabad,0,2227,15,5,21,20,1,30
8214,Air India,Delhi,Cochin,0,6094,27,5,18,5,3,5
6943,IndiGo,Delhi,Cochin,1,14871,3,6,6,40,6,40
3856,Multiple carriers,Delhi,Cochin,1,7695,21,3,12,50,12,45
510,Jet Airways,Banglore,New Delhi,1,26890,3,1,7,0,5,25
338,Air India,Delhi,Cochin,0,5201,18,6,5,10,2,50
4848,Jet Airways,Delhi,Cochin,1,12898,27,5,17,30,10,55
1282,Multiple carriers,Delhi,Cochin,1,7005,6,1,12,50,8,10
8532,Jet Airways,Delhi,Cochin,2,13292,6,12,5,30,13,30
8545,Air India,Banglore,New Delhi,2,12599,3,3,8,50,26,20
631,IndiGo,Kolkata,Banglore,0,4804,5,6,17,15,2,35
1936,SpiceJet,Delhi,Cochin,1,6356,21,4,8,45,4,30
840,Jet Airways,Delhi,Cochin,1,10262,27,6,16,0,27,0
9737,Multiple carriers,Delhi,Cochin,1,8937,6,1,11,25,7,50
6461,SpiceJet,Kolkata,Banglore,0,3873,15,5,6,55,2,35
6646,IndiGo,Banglore,Delhi,0,3943,27,5,13,0,2,50
5983,Multiple carriers,Delhi,Cochin,2,16655,21,5,15,5,10,25
869,Multiple carriers,Delhi,Cochin,1,15147,3,6,8,55,12,5
5974,Multiple carriers,Delhi,Cochin,1,9042,21,3,7,0,6,20
6,Jet Airways,Banglore,New Delhi,1,11087,3,12,18,55,15,30
3164,Jet Airways,Delhi,Cochin,1,10262,6,3,20,55,15,40
5119,Multiple carriers,Delhi,Cochin,1,15147,3,6,15,15,10,20
9121,Jet Airways,Banglore,New Delhi,1,17261,3,6,22,50,10,40
5234,Jet Airways,Banglore,New Delhi,0,18308,3,6,19,55,2,40
5221,Jet Airways,Delhi,Cochin,1,12898,27,5,9,0,19,25
4682,IndiGo,Chennai,Kolkata,0,5277,18,6,22,5,2,20
9789,IndiGo,Chennai,Kolkata,0,5277,27,3,22,5,2,20
4921,Air India,Delhi,Cochin,0,7931,3,3,5,10,2,50
7103,Jet Airways,Kolkata,Banglore,1,14571,6,6,21,10,12,55
4866,Jet Airways,Delhi,Cochin,1,12898,21,5,16,0,20,35
5842,Air Asia,Banglore,Delhi,0,3383,27,5,4,55,2,50
3990,Air India,Kolkata,Banglore,1,5793,4,1,9,10,4,5
8636,Jet Airways,Kolkata,Banglore,1,8824,24,3,6,30,16,55
3601,IndiGo,Mumbai,Hyderabad,0,5755,3,3,12,0,1,25
9372,IndiGo,Delhi,Cochin,1,11532,3,9,2,35,5,55
3785,Jet Airways,Banglore,New Delhi,1,13555,18,3,22,50,10,10
10053,IndiGo,Mumbai,Hyderabad,0,4784,3,6,16,55,1,30
9556,Jet Airways,Mumbai,Hyderabad,0,5678,6,6,2,55,1,25
7067,Multiple carriers,Delhi,Cochin,1,13377,27,5,16,0,9,30
5834,IndiGo,Banglore,Delhi,0,3943,4,1,10,10,2,50
7886,Multiple carriers,Delhi,Cochin,1,6795,27,5,12,50,12,40
11,IndiGo,Kolkata,Banglore,0,4174,18,4,20,20,2,35
9337,GoAir,Delhi,Cochin,1,4563,4,1,7,25,6,10
2158,Jet Airways,Banglore,New Delhi,1,12284,18,3,8,55,9,30
9210,Air India,Kolkata,Banglore,1,8026,24,3,9,10,4,30
3583,IndiGo,Banglore,Delhi,0,4823,15,4,16,55,3,0
4037,SpiceJet,Mumbai,Hyderabad,0,2017,5,12,22,45,1,30
3261,Jet Airways,Banglore,New Delhi,1,8147,24,3,11,40,21,20
1290,Jet Airways,Banglore,Delhi,0,8016,6,9,6,0,2,45
887,IndiGo,Kolkata,Banglore,1,4205,6,9,19,20,4,25
8304,Air Asia,Kolkata,Banglore,1,6857,18,5,6,50,3,40
3657,Multiple carriers,Delhi,Cochin,1,13587,27,5,11,30,9,30
6491,Vistara,Banglore,Delhi,0,4668,5,6,21,0,2,50
1176,Jet Airways,Kolkata,Banglore,1,13067,21,5,20,25,13,20
8914,IndiGo,Delhi,Cochin,1,6628,6,6,9,15,16,15
2022,Vistara,Kolkata,Banglore,1,8452,6,6,7,10,25,55
6361,Jet Airways,Kolkata,Banglore,1,10844,6,9,14,5,9,30
8484,IndiGo,Chennai,Kolkata,0,3540,15,6,15,40,2,45
5426,Jet Airways,Banglore,New Delhi,1,16736,3,6,20,35,11,40
600,Multiple carriers,Delhi,Cochin,1,9211,18,5,11,40,7,35
2754,Air Asia,Kolkata,Banglore,0,4384,3,9,22,50,2,30
10000,Multiple carriers,Delhi,Cochin,1,13542,21,3,15,0,10,35
5704,Jet Airways,Kolkata,Banglore,1,12739,6,12,21,10,7,30
9429,Air Asia,Kolkata,Banglore,0,5645,21,4,22,50,2,30
7879,Vistara,Banglore,Delhi,0,4668,21,5,7,0,2,40
7143,IndiGo,Kolkata,Banglore,0,4804,15,6,15,15,2,30
5738,Multiple carriers,Delhi,Cochin,1,10051,27,5,8,45,10,30
2559,Air India,Banglore,New Delhi,0,15676,3,1,6,10,2,45
9123,Jet Airways,Kolkata,Banglore,1,10844,21,5,21,10,14,50
6233,IndiGo,Kolkata,Banglore,0,4148,21,3,15,10,2,35
1343,IndiGo,Delhi,Cochin,1,5883,6,12,11,25,14,5
1930,Air India,Banglore,Delhi,0,8273,24,5,6,10,2,45
1816,Jet Airways,Delhi,Cochin,2,21954,3,6,19,10,24,35
2042,Jet Airways,Kolkata,Banglore,1,11316,6,6,10,20,7,15
6131,Air Asia,Banglore,Delhi,0,4282,24,6,4,55,2,50
394,Jet Airways,Delhi,Cochin,1,12898,21,5,14,0,5,0
3026,Air India,Delhi,Cochin,0,5674,21,3,18,5,3,5
4386,Multiple carriers,Delhi,Cochin,1,8888,5,9,9,45,12,45
2013,Air India,Kolkata,Banglore,2,14960,6,12,16,45,19,45
1940,Air India,Kolkata,Banglore,2,12224,6,12,17,30,20,15
4794,Jet Airways,Delhi,Cochin,2,10919,6,12,14,35,22,0
4668,Multiple carriers,Delhi,Cochin,1,8073,18,5,10,0,15,30
675,IndiGo,Kolkata,Banglore,1,5279,18,5,8,10,4,50
5998,Jet Airways,Kolkata,Banglore,1,8529,6,12,21,10,12,10
1098,IndiGo,Banglore,Delhi,0,3943,5,6,13,0,2,50
2828,Jet Airways,Delhi,Cochin,2,13014,6,9,19,30,17,5
1981,Multiple carriers,Delhi,Cochin,1,10197,5,9,7,0,12,0
6500,Air Asia,Delhi,Cochin,1,6751,5,9,20,45,10,25
391,Air Asia,Delhi,Cochin,1,6751,5,9,7,55,5,30
462,SpiceJet,Delhi,Cochin,1,4957,24,4,17,55,4,55
8213,IndiGo,Delhi,Cochin,1,6979,15,5,17,30,8,0
1919,Multiple carriers,Delhi,Cochin,1,13587,15,6,8,0,13,0
3886,Jet Airways,Delhi,Cochin,2,13292,6,12,5,30,22,55
10207,Jet Airways,Kolkata,Banglore,1,10844,15,5,18,55,27,40
9791,IndiGo,Kolkata,Banglore,1,4226,4,1,19,35,3,40
5622,Multiple carriers,Delhi,Cochin,1,7408,6,9,9,0,12,0
5805,Jet Airways,Banglore,Delhi,0,4030,5,1,17,45,3,0
1597,Jet Airways,Kolkata,Banglore,1,12681,4,1,8,25,9,50
5316,Air India,Delhi,Cochin,2,10975,21,5,7,5,26,20
7412,IndiGo,Chennai,Kolkata,0,4332,5,1,11,35,2,25
496,Jet Airways,Delhi,Cochin,1,14714,6,6,20,55,7,30
1250,Jet Airways,Kolkata,Banglore,1,13941,5,9,18,55,15,10
809,IndiGo,Delhi,Cochin,1,6412,15,5,14,20,8,10
10148,Air India,Kolkata,Banglore,2,14424,15,5,10,0,19,25
4888,Multiple carriers,Delhi,Cochin,1,13377,6,1,17,30,8,0
2911,Jet Airways,Banglore,New Delhi,1,17261,3,6,11,40,22,45
7350,Jet Airways,Kolkata,Banglore,1,14781,21,5,14,5,8,30
10084,Jet Airways,Banglore,New Delhi,1,7832,21,3,5,45,19,0
6162,Air India,Kolkata,Banglore,0,5510,21,5,14,15,2,30
7331,Multiple carriers,Delhi,Cochin,1,7670,15,5,19,0,6,30
