,Airline,Source,Destination,Total_Stops,Price,Day,Month,Dep_hour,Dep_minute,Duration_hour,Duration_minute
48,Air India,Kolkata,Banglore,1,6117,15,5,19,0,16,5
49,Jet Airways,Delhi,Cochin,2,11150,27,6,23,5,19,55
50,Jet Airways,Delhi,Cochin,0,7202,3,9,11,0,3,15
51,Jet Airways,Kolkata,Banglore,1,12121,5,1,9,35,25,20
52,IndiGo,Banglore,New Delhi,0,4377,24,3,22,20,2,50
53,IndiGo,Banglore,Delhi,0,3943,18,6,21,15,3,0
54,Air Asia,Banglore,Delhi,0,4483,4,3,23,55,2,50
55,Jet Airways,Kolkata,Banglore,1,14231,24,3,19,45,16,15
56,Air India,Banglore,New Delhi,2,17345,3,1,8,50,15,5
57,Vistara,Chennai,Kolkata,0,7414,3,6,7,5,2,15
58,Multiple carriers,Delhi,Cochin,1,8073,5,6,19,0,6,30
59,Vistara,Mumbai,Hyderabad,1,12395,3,6,15,40,25,5
60,Air India,Kolkata,Banglore,1,8366,6,6,9,25,12,25
61,Air India,Delhi,Cochin,1,5117,4,3,6,5,27,20
62,Multiple carriers,Delhi,Cochin,1,12524,6,3,8,45,10,15
63,IndiGo,Delhi,Cochin,1,7191,15,5,15,0,10,30
64,Vistara,Chennai,Kolkata,0,3687,24,5,7,5,2,15
65,IndiGo,Delhi,Cochin,1,5894,24,6,10,35,10,25
66,Vistara,Banglore,Delhi,0,5403,24,4,9,45,2,50
67,Air India,Mumbai,Hyderabad,0,3625,5,6,13,55,1,30
68,Air India,Delhi,Cochin,2,10861,21,5,5,55,13,20
69,IndiGo,Chennai,Kolkata,0,6297,3,12,13,20,2,15
70,Jet Airways,Mumbai,Hyderabad,0,5678,6,1,7,5,1,25
71,Jet Airways,Banglore,New Delhi,1,9134,3,9,5,45,26,30
72,Multiple carriers,Delhi,Cochin,1,10791,24,6,11,40,7,20
73,Jet Airways,Delhi,Cochin,2,12819,24,6,23,5,13,30
74,IndiGo,Delhi,Cochin,1,6893,21,3,5,5,5,0
75,Vistara,Banglore,New Delhi,0,7240,3,9,9,50,2,45
76,GoAir,Banglore,Delhi,0,3898,4,3,11,40,2,50
77,IndiGo,Mumbai,Hyderabad,0,4049,4,3,6,25,1,30
78,Jet Airways,Delhi,Cochin,1,10262,15,6,17,30,19,5
79,SpiceJet,Chennai,Kolkata,0,3332,21,3,8,20,2,15
80,Jet Airways,Kolkata,Banglore,1,10844,6,9,21,10,14,50
81,Jet Airways,Banglore,New Delhi,0,7229,24,3,19,55,2,40
82,Jet Airways,Kolkata,Banglore,1,13941,5,6,6,30,22,10
83,IndiGo,Delhi,Cochin,1,5894,27,6,11,25,9,35
84,Multiple carriers,Delhi,Cochin,1,10197,18,5,9,0,10,0
85,Jet Airways,Banglore,New Delhi,1,13712,3,6,14,5,21,20
86,IndiGo,Delhi,Cochin,1,5636,24,6,2,0,5,25
87,Jet Airways,Delhi,Cochin,2,13014,6,6,9,40,18,45
88,Jet Airways,Kolkata,Banglore,1,7064,4,1,8,25,12,20
89,Jet Airways,Kolkata,Banglore,1,10703,24,5,20,25,18,0
90,Multiple carriers,Delhi,Cochin,1,9646,27,5,13,15,9,15
91,Multiple carriers,Delhi,Cochin,1,17057,3,6,2,15,11,5
92,Jet Airways,Banglore,New Delhi,1,13817,3,12,16,55,17,30
93,Air India,Delhi,Cochin,2,13748,3,6,5,55,13,20
94,Air India,Kolkata,Banglore,0,4880,21,4,20,45,2,35
95,IndiGo,Chennai,Kolkata,0,3540,21,6,5,15,2,25
96,SpiceJet,Banglore,Delhi,0,3257,15,5,5,55,2,40
97,Jet Airways,Banglore,Delhi,0,6478,6,3,19,50,3,0
98,Jet Airways,Mumbai,Hyderabad,0,8040,18,6,7,5,1,25
99,Jet Airways,Delhi,Cochin,2,14300,6,12,20,0,16,35
100,Jet Airways,Kolkata,Banglore,1,14781,15,5,8,25,12,20
101,Jet Airways,Kolkata,Banglore,1,14939,6,9,20,0,12,15
102,Jet Airways,Delhi,Cochin,1,10262,24,6,20,55,7,30
103,Air India,Kolkata,Banglore,1,6528,5,12,14,35,24,0
104,Air India,Banglore,Delhi,0,6121,5,1,6,10,2,45
105,Jet Airways,Delhi,Cochin,2,13029,18,5,19,30,8,55
106,Multiple carriers,Delhi,Cochin,1,11421,27,3,11,40,7,10
107,Multiple carriers,Delhi,Cochin,1,7574,27,3,4,45,14,30
108,Air India,Delhi,Cochin,2,11596,5,9,12,55,30,20
109,Jet Airways,Delhi,Cochin,2,15129,24,5,23,5,19,55
110,Jet Airways,Banglore,New Delhi,1,13555,18,3,14,5,15,0
111,IndiGo,Banglore,Delhi,0,5780,4,12,18,55,2,55
112,Vistara,Kolkata,Banglore,1,9397,5,12,20,20,12,45
113,Jet Airways,Delhi,Cochin,1,17024,3,6,18,15,10,10
114,GoAir,Delhi,Cochin,1,5281,27,6,7,0,5,55
115,Multiple carriers,Delhi,Cochin,1,10348,18,5,7,5,15,25
116,Air India,Delhi,Cochin,1,12677,3,6,17,20,16,5
117,Multiple carriers,Delhi,Cochin,1,15147,3,3,15,25,10,10
118,Vistara,Banglore,Delhi,0,4668,6,12,7,0,2,40
119,Jet Airways,Delhi,Cochin,1,15554,5,9,7,5,11,55
120,SpiceJet,Banglore,Delhi,0,3971,4,9,5,55,2,40
121,Air India,Mumbai,Hyderabad,0,3100,5,3,15,0,1,25
122,Jet Airways,Kolkata,Banglore,1,9663,5,6,20,0,14,5
123,Air India,Delhi,Cochin,1,27430,3,1,23,0,20,15
124,IndiGo,Chennai,Kolkata,0,3540,5,12,5,15,2,25
125,Air India,Kolkata,Banglore,2,10676,21,5,12,0,23,10
126,Jet Airways,Kolkata,Banglore,1,13044,6,12,14,5,18,10
127,Jet Airways,Kolkata,Banglore,1,14388,5,6,20,0,16,0
128,IndiGo,Banglore,Delhi,0,3943,24,6,4,0,2,50
129,IndiGo,Chennai,Kolkata,0,3597,6,3,14,45,2,20
130,Air India,Banglore,New Delhi,1,5932,21,3,11,50,8,0
131,Jet Airways,Delhi,Cochin,1,10262,15,6,11,30,16,55
132,Vistara,Delhi,Cochin,0,6216,5,12,14,40,3,10
133,IndiGo,Kolkata,Banglore,0,4804,15,6,20,25,2,45
134,Multiple carriers,Delhi,Cochin,1,14067,21,5,11,30,14,0
135,Jet Airways,Delhi,Cochin,2,15129,18,5,19,10,23,50
136,Jet Airways,Delhi,Cochin,2,13376,6,6,6,45,21,40
137,Air India,Delhi,Cochin,2,10441,27,6,22,0,21,15
138,Jet Airways,Banglore,Delhi,0,4030,24,5,6,0,2,45
139,Jet Airways,Delhi,Cochin,1,17024,3,3,8,0,10,50
140,Multiple carriers,Delhi,Cochin,1,13017,4,9,17,30,8,0
141,GoAir,Kolkata,Banglore,1,6686,6,6,23,30,8,15
142,IndiGo,Delhi,Cochin,1,5636,15,6,2,0,5,25
143,IndiGo,Delhi,Cochin,1,6442,6,9,7,35,8,35
144,Multiple carriers,Delhi,Cochin,1,9486,21,5,13,5,11,50
145,Jet Airways,Kolkata,Banglore,1,10844,21,5,20,0,27,35
146,Jet Airways,Delhi,Cochin,2,15318,6,3,20,0,8,25
147,Air India,Delhi,Cochin,1,5117,4,3,12,30,20,55
148,IndiGo,Delhi,Cochin,1,6147,24,6,15,10,4,50
149,Multiple carriers,Delhi,Cochin,1,7005,6,9,12,50,8,10
150,SpiceJet,Kolkata,Banglore,0,3873,4,3,22,20,2,20
151,Jet Airways,Delhi,Cochin,2,9270,21,3,18,25,24,25
152,GoAir,Banglore,Delhi,0,3898,27,6,11,40,2,50
153,Jet Airways,Kolkata,Banglore,1,14781,5,12,8,25,12,20
154,Jet Airways,Kolkata,Banglore,1,8586,24,5,20,0,12,15
155,Air India,Kolkata,Banglore,2,10697,5,9,8,20,23,35
156,Jet Airways,Delhi,Cochin,2,14300,27,6,20,0,16,35
157,IndiGo,Banglore,New Delhi,0,8855,3,3,18,55,2,50
158,Jet Airways,Kolkata,Banglore,1,10844,5,12,16,30,25,45
159,Jet Airways,Delhi,Cochin,1,17024,3,6,2,15,26,10
160,Jet Airways,Kolkata,Banglore,1,9314,5,1,9,35,28,50
161,IndiGo,Banglore,New Delhi,0,4777,24,3,0,40,2,45
162,Air India,Kolkata,Banglore,1,7662,6,9,12,0,25,15
163,IndiGo,Delhi,Cochin,1,6442,5,9,6,50,9,20
164,SpiceJet,Delhi,Cochin,1,5264,6,12,8,45,4,30
165,Jet Airways,Delhi,Cochin,1,12898,27,5,13,0,15,25
166,Air India,Mumbai,Hyderabad,0,6092,3,3,13,55,1,30
167,SpiceJet,Banglore,Delhi,0,3311,21,5,5,55,2,40
168,Jet Airways,Delhi,Cochin,1,6540,27,3,19,15,9,10
169,IndiGo,Banglore,Delhi,0,3419,27,5,1,30,2,45
170,Jet Airways,Delhi,Cochin,1,5177,4,3,14,0,22,35
171,Air India,Delhi,Cochin,0,8246,18,4,18,5,3,5
172,Jet Airways,Kolkata,Banglore,1,14676,6,9,9,35,11,30
173,Multiple carriers,Delhi,Cochin,1,13587,27,6,11,30,9,30
174,Jet Airways,Kolkata,Banglore,1,9663,5,6,21,10,12,10
175,Jet Airways,Kolkata,Banglore,1,13044,6,12,16,30,17,35
176,IndiGo,Delhi,Cochin,1,5073,4,3,20,25,5,5
177,Vistara,Kolkata,Banglore,1,9345,21,5,17,0,25,50
178,Jet Airways,Kolkata,Banglore,1,9663,5,6,14,5,20,0
179,Multiple carriers,Delhi,Cochin,1,14277,21,5,8,0,13,0
180,Jet Airways,Delhi,Cochin,1,10262,6,1,10,0,18,25
181,Jet Airways,Mumbai,Hyderabad,0,5678,27,3,19,35,1,30
182,Multiple carriers,Delhi,Cochin,1,13727,15,5,16,0,9,30
183,Jet Airways,Kolkata,Banglore,1,9663,5,6,20,0,16,0
184,IndiGo,Chennai,Kolkata,0,3858,5,12,14,45,2,20
185,SpiceJet,Delhi,Cochin,1,4812,24,6,8,45,4,30
186,IndiGo,Delhi,Cochin,1,5775,27,6,21,50,5,45
187,Jet Airways,Kolkata,Banglore,1,10539,6,6,9,35,24,10
188,IndiGo,Kolkata,Banglore,0,4804,6,3,15,30,2,35
189,Air Asia,Banglore,Delhi,0,3383,6,12,11,10,2,45
190,IndiGo,Banglore,New Delhi,1,8738,3,3,12,10,4,55
191,Air India,Delhi,Cochin,1,7165,27,3,5,15,25,35
192,IndiGo,Delhi,Cochin,1,6412,24,6,16,10,6,20
193,Jet Airways,Banglore,Delhi,0,8016,27,6,18,55,3,5
194,Jet Airways,Banglore,New Delhi,1,11087,3,12,20,35,18,40
195,SpiceJet,Chennai,Kolkata,0,3543,27,6,9,45,2,15
196,Jet Airways,Kolkata,Banglore,1,12471,6,12,16,30,12,10
197,Jet Airways,Delhi,Cochin,1,10262,24,6,9,0,19,25
198,Air India,Banglore,New Delhi,0,4441,18,3,13,20,2,50
199,Multiple carriers,Delhi,Cochin,1,12537,27,3,7,5,8,25
200,GoAir,Kolkata,Banglore,1,10091,24,3,22,25,9,15
201,Air India,Banglore,Delhi,0,6961,6,3,21,5,2,50
202,IndiGo,Delhi,Cochin,0,5013,24,4,5,35,3,15
203,Air India,Delhi,Cochin,0,6934,18,5,5,10,2,50
204,Multiple carriers,Delhi,Cochin,1,10877,6,3,6,40,12,20
205,Jet Airways,Banglore,Delhi,0,7229,18,4,15,15,2,55
206,IndiGo,Delhi,Cochin,1,7048,27,3,16,0,9,35
207,Vistara,Banglore,Delhi,0,4878,27,6,17,0,2,35
208,Jet Airways,Kolkata,Banglore,1,10844,21,5,14,5,9,30
209,Jet Airways,Delhi,Cochin,2,15129,18,5,23,5,29,20
210,IndiGo,Banglore,Delhi,0,3943,5,12,0,30,2,55
211,SpiceJet,Delhi,Cochin,1,5583,6,6,6,5,5,15
212,Multiple carriers,Delhi,Cochin,1,9646,6,6,7,5,9,5
213,Multiple carriers,Delhi,Cochin,1,7677,6,3,8,30,10,45
214,IndiGo,Delhi,Cochin,1,6842,6,1,5,10,4,55
215,Jet Airways,Mumbai,Hyderabad,0,4995,24,6,8,45,1,30
216,Vistara,Kolkata,Banglore,1,9555,6,9,7,10,11,40
217,IndiGo,Banglore,Delhi,0,4077,6,1,1,30,2,45
218,Jet Airways,Banglore,Delhi,0,7229,5,12,15,15,2,55
219,Multiple carriers,Delhi,Cochin,1,12192,6,9,9,0,10,0
220,Air India,Banglore,Delhi,0,5911,4,12,10,0,2,45
221,Air India,Delhi,Cochin,1,8372,6,12,9,0,10,15
222,Jet Airways,Mumbai,Hyderabad,0,4995,18,3,7,10,1,25
223,Multiple carriers,Delhi,Cochin,1,14323,5,9,10,0,9,15
224,Jet Airways,Delhi,Cochin,2,13014,6,9,5,30,22,55
225,Air India,Delhi,Cochin,2,13591,6,6,14,25,28,50
226,Jet Airways,Delhi,Cochin,2,18799,3,3,5,25,37,25
227,IndiGo,Banglore,Delhi,0,3943,27,4,23,30,2,50
228,SpiceJet,Mumbai,Hyderabad,0,1965,21,5,5,45,1,30
229,Jet Airways,Mumbai,Hyderabad,0,4995,27,5,10,20,1,30
230,Air India,Kolkata,Banglore,1,14641,24,3,16,50,25,40
231,Air India,Kolkata,Banglore,0,4460,4,12,20,45,2,35
232,Air India,Delhi,Cochin,1,10191,18,5,13,0,6,15
233,Jet Airways,Delhi,Cochin,1,13843,3,9,2,15,17,30
234,IndiGo,Delhi,Cochin,1,6349,5,1,21,50,5,45
235,Air Asia,Kolkata,Banglore,0,4409,5,1,10,20,2,35
236,Jet Airways,Delhi,Cochin,1,17024,3,6,18,15,25,30
237,Multiple carriers,Delhi,Cochin,1,13727,18,5,7,5,13,55
238,IndiGo,Banglore,New Delhi,0,8855,15,3,18,25,2,55
239,Multiple carriers,Delhi,Cochin,1,12524,24,6,8,45,10,15
240,Jet Airways,Banglore,New Delhi,1,13555,18,3,11,40,8,40
241,Jet Airways,Kolkata,Banglore,1,10844,6,6,6,30,5,30
242,Multiple carriers,Delhi,Cochin,1,13587,6,9,9,0,12,0
243,SpiceJet,Chennai,Kolkata,0,3543,6,12,9,45,2,15
244,Vistara,Chennai,Kolkata,0,4842,18,3,7,5,2,15
245,IndiGo,Banglore,Delhi,0,3943,24,4,23,30,2,50
246,Jet Airways,Delhi,Cochin,1,10577,6,9,19,15,9,10
247,IndiGo,Delhi,Cochin,1,6979,15,5,10,35,10,25
248,Vistara,Chennai,Kolkata,0,11982,27,6,17,45,2,20
249,SpiceJet,Delhi,Cochin,1,5264,6,6,8,45,4,30
250,Vistara,Delhi,Cochin,0,8001,3,3,6,0,3,10
251,Air India,Delhi,Cochin,2,10651,6,1,19,45,23,30
252,Jet Airways,Kolkata,Banglore,1,10844,24,5,16,30,27,20
253,Multiple carriers,Delhi,Cochin,1,6601,27,3,9,45,12,35
254,Air India,Delhi,Cochin,1,6587,21,3,19,0,24,15
255,SpiceJet,Mumbai,Hyderabad,0,3173,21,3,13,10,1,20
256,Air India,Banglore,Delhi,0,5228,5,9,10,0,2,45
257,Jet Airways,Banglore,Delhi,0,5769,21,6,7,10,3,0
258,Jet Airways,Delhi,Cochin,1,14714,6,6,8,0,11,0
259,Jet Airways,Delhi,Cochin,2,13014,6,3,5,30,13,30
260,IndiGo,Banglore,Delhi,0,3359,6,3,22,10,2,50
261,GoAir,Banglore,New Delhi,0,6722,3,3,20,55,2,55
262,IndiGo,Kolkata,Banglore,0,4462,18,3,9,35,2,45
263,IndiGo,Delhi,Cochin,1,6171,3,9,4,55,11,15
264,Air India,Kolkata,Banglore,2,12303,21,5,5,50,14,35
265,Multiple carriers,Delhi,Cochin,1,7695,21,3,11,40,13,55
266,IndiGo,Delhi,Cochin,1,5684,24,6,11,25,14,5
267,Air India,Kolkata,Banglore,1,8366,6,12,16,50,15,5
268,Air India,Chennai,Kolkata,0,19630,3,1,11,40,2,15
269,Jet Airways,Banglore,New Delhi,1,13502,3,6,14,5,15,0
270,Jet Airways,Kolkata,Banglore,1,14781,5,1,21,10,12,55
271,Multiple carriers,Delhi,Cochin,1,6513,6,12,7,10,9,0
272,Air India,Delhi,Cochin,1,9929,6,1,7,0,12,15
273,Multiple carriers,Delhi,Cochin,2,18275,6,6,17,50,7,40
274,Air India,Delhi,Cochin,1,4487,4,9,6,5,27,20
275,IndiGo,Mumbai,Hyderabad,0,2754,15,3,21,20,1,25
276,Air India,Mumbai,Hyderabad,0,2575,27,3,6,20,1,20
277,SpiceJet,Kolkata,Banglore,1,8224,6,12,15,55,5,30
278,Air India,Delhi,Cochin,1,8991,3,9,20,30,11,45
279,IndiGo,Delhi,Cochin,0,5000,24,6,5,35,3,15
280,Jet Airways,Kolkata,Banglore,1,8529,6,12,18,55,24,55
281,Air India,Delhi,Cochin,1,14042,3,3,6,5,27,20
282,Jet Airways,Banglore,Delhi,0,4030,24,5,11,10,2,55
283,Jet Airways,Kolkata,Banglore,1,10844,6,6,18,55,17,5
284,IndiGo,Kolkata,Banglore,0,4804,5,6,21,25,2,40
285,Multiple carriers,Delhi,Cochin,1,7308,27,5,17,30,8,0
286,IndiGo,Banglore,Delhi,0,4823,5,12,16,55,3,0
287,Jet Airways,Delhi,Cochin,1,10262,24,6,9,0,27,35
288,Jet Airways,Delhi,Cochin,1,12898,27,5,20,55,7,30
289,Air India,Banglore,New Delhi,2,12778,3,12,17,25,22,55
290,IndiGo,Delhi,Cochin,1,14871,3,3,4,45,8,35
291,Air India,Delhi,Cochin,2,8708,21,3,13,20,29,55
292,Jet Airways,Kolkata,Banglore,1,10844,6,6,20,0,22,15
293,SpiceJet,Mumbai,Hyderabad,0,4129,3,6,5,45,1,20
294,IndiGo,Kolkata,Banglore,0,4804,18,5,21,25,2,40
295,Jet Airways,Banglore,Delhi,0,7229,5,6,8,20,3,0
296,Jet Airways,Banglore,New Delhi,1,7832,21,3,7,0,12,10
297,SpiceJet,Chennai,Kolkata,0,3859,18,3,9,30,2,35
298,Multiple carriers,Delhi,Cochin,1,9001,6,6,7,30,11,45
299,Vistara,Banglore,Delhi,0,4878,5,9,17,0,2,35
300,IndiGo,Mumbai,Hyderabad,0,2754,5,3,2,35,1,30
301,Vistara,Banglore,Delhi,0,4668,27,6,7,0,2,40
302,Air Asia,Kolkata,Banglore,0,5216,5,12,10,20,2,35
303,Jet Airways,Delhi,Cochin,2,10368,6,6,5,30,22,55
304,IndiGo,Delhi,Cochin,2,8146,3,9,6,40,14,40
305,Jet Airways,Delhi,Cochin,1,12242,27,3,13,0,15,25
306,Jet Airways,Banglore,New Delhi,1,9134,15,3,8,0,7,15
307,Air India,Delhi,Cochin,2,10939,6,6,13,15,20,10
308,Air India,Delhi,Cochin,2,11753,6,6,10,55,20,45
309,SpiceJet,Kolkata,Banglore,0,4174,24,4,17,10,2,30
310,Jet Airways,Kolkata,Banglore,1,10844,21,5,20,0,23,50
311,Jet Airways,Delhi,Cochin,1,14714,6,3,16,0,27,0
312,Jet Airways,Kolkata,Banglore,1,9899,6,12,6,30,5,30
313,IndiGo,Delhi,Cochin,1,14871,3,3,9,10,11,50
314,IndiGo,Chennai,Kolkata,0,7295,3,6,13,20,2,15
315,Air India,Delhi,Cochin,2,13465,6,6,18,45,24,30
316,SpiceJet,Chennai,Kolkata,0,3543,21,5,17,45,2,20
317,Multiple carriers,Delhi,Cochin,1,7198,27,6,19,0,6,30
318,Jet Airways,Delhi,Cochin,1,10262,6,1,8,0,20,25
319,IndiGo,Kolkata,Banglore,0,4148,15,3,15,20,2,35
320,Jet Airways,Banglore,Delhi,0,8016,27,6,15,15,2,55
321,Jet Airways,Delhi,Cochin,1,10262,6,9,22,50,5,35
322,SpiceJet,Kolkata,Banglore,0,3841,15,6,14,55,2,30
323,Jet Airways,Banglore,New Delhi,1,11507,3,12,9,45,14,45
324,Jet Airways,Kolkata,Banglore,1,14781,5,1,8,25,12,20
325,Jet Airways,Delhi,Cochin,1,16079,27,5,17,30,25,30
326,Jet Airways,Delhi,Cochin,1,12898,27,5,22,50,5,35
327,Multiple carriers,Delhi,Cochin,1,15353,3,6,7,30,11,45
328,IndiGo,Banglore,New Delhi,0,7303,24,3,18,25,2,55
329,SpiceJet,Kolkata,Banglore,1,6197,24,3,15,5,5,40
330,Air India,Kolkata,Banglore,1,8996,6,9,9,10,4,5
331,IndiGo,Delhi,Cochin,1,6528,21,3,14,20,8,0
332,GoAir,Banglore,Delhi,0,4239,4,9,20,55,2,45
333,IndiGo,Kolkata,Banglore,0,4148,3,12,20,25,2,40
334,SpiceJet,Banglore,Delhi,0,3971,24,5,21,10,2,55
335,Air Asia,Kolkata,Banglore,1,5192,5,6,7,35,15,55
336,Jet Airways,Delhi,Cochin,2,9483,4,9,13,25,23,10
337,Jet Airways,Delhi,Cochin,2,18804,6,3,11,40,7,20
338,Air India,Delhi,Cochin,0,5201,18,6,5,10,2,50
339,Jet Airways,Delhi,Cochin,1,16079,27,5,11,30,7,30
340,Jet Airways,Banglore,Delhi,0,7229,15,6,19,50,3,0
341,Multiple carriers,Delhi,Cochin,1,6795,27,5,17,45,7,45
342,Jet Airways,Kolkata,Banglore,1,10953,5,9,9,35,25,20
343,Multiple carriers,Delhi,Cochin,2,15965,24,6,15,5,10,25
344,Air India,Delhi,Cochin,2,9968,4,9,12,55,30,20
345,IndiGo,Kolkata,Banglore,0,4804,6,6,22,15,2,35
346,Jet Airways,Delhi,Cochin,1,16079,27,5,10,0,9,0
347,Jet Airways,Delhi,Cochin,2,11507,6,12,21,25,15,10
348,Air India,Kolkata,Banglore,2,11542,6,9,9,25,28,20
349,Jet Airways,Banglore,Delhi,0,7229,24,4,17,45,3,0
350,Jet Airways,Banglore,Delhi,0,4544,27,4,6,0,2,45
351,IndiGo,Delhi,Cochin,1,6496,15,5,5,10,4,55
352,IndiGo,Kolkata,Banglore,0,4804,15,6,21,25,2,40
353,Air India,Banglore,New Delhi,1,13439,3,1,11,5,22,10
354,Jet Airways,Delhi,Cochin,1,6540,27,3,18,15,10,10
355,IndiGo,Banglore,Delhi,0,4591,6,1,23,30,2,50
356,IndiGo,Banglore,New Delhi,1,4437,18,3,16,15,4,20
357,Air Asia,Delhi,Cochin,1,6151,21,3,20,10,11,0
358,Jet Airways,Banglore,Delhi,0,7754,21,6,17,45,3,0
359,Jet Airways,Delhi,Cochin,1,10262,24,6,14,0,22,35
360,Jet Airways,Banglore,Delhi,0,8016,6,9,18,55,3,5
361,SpiceJet,Kolkata,Banglore,0,4781,24,3,6,55,2,40
362,Vistara,Banglore,Delhi,0,4668,27,6,11,30,2,50
363,Air India,Banglore,New Delhi,1,14594,3,6,11,50,21,5
364,Jet Airways,Kolkata,Banglore,1,14231,24,3,16,55,11,50
365,Air India,Delhi,Cochin,1,8425,15,5,5,15,25,35
366,Multiple carriers,Delhi,Cochin,1,9646,6,12,7,5,15,25
367,IndiGo,Chennai,Kolkata,0,7295,3,3,14,40,2,25
368,Air Asia,Kolkata,Banglore,1,5162,4,9,6,50,3,40
369,IndiGo,Banglore,New Delhi,0,6860,3,9,18,25,2,55
370,Vistara,Delhi,Cochin,0,6216,15,4,6,0,3,10
371,Air Asia,Kolkata,Banglore,1,5192,24,5,7,35,11,50
372,IndiGo,Banglore,Delhi,0,4823,4,9,20,0,2,50
373,SpiceJet,Banglore,Delhi,0,3919,4,3,9,30,2,50
374,IndiGo,Mumbai,Hyderabad,0,2754,6,3,19,5,1,30
375,Multiple carriers,Delhi,Cochin,1,9315,5,9,7,30,11,30
376,Multiple carriers,Delhi,Cochin,1,11667,27,3,10,0,8,50
377,Jet Airways,Kolkata,Banglore,1,6224,6,12,8,25,20,15
378,Air India,Kolkata,Banglore,2,13349,24,3,9,25,20,10
379,Jet Airways,Banglore,New Delhi,1,11087,18,3,16,55,16,5
380,Multiple carriers,Delhi,Cochin,1,15603,3,6,13,0,12,35
381,Jet Airways,Delhi,Cochin,2,15129,5,9,19,30,17,5
382,IndiGo,Banglore,Delhi,0,4823,4,9,16,55,3,0
383,Vistara,Kolkata,Banglore,1,8452,5,1,7,10,15,30
384,Multiple carriers,Delhi,Cochin,1,12524,6,6,7,30,11,30
385,SpiceJet,Chennai,Kolkata,0,3384,27,3,17,45,2,20
386,Jet Airways,Delhi,Cochin,1,10262,6,1,19,15,23,45
387,SpiceJet,Mumbai,Hyderabad,0,1965,18,6,13,15,1,30
